"wave","include_random_effects","length","measure","pearson_cor_value","pearson_cor_df","pearson_cor_p","pearson_cor_95_conf_lower","pearson_cor_95_conf_upper"
2,FALSE,20,"general_sophistication",0.521276836547382,50,7.42013343617692e-05,0.289569726979562,0.695270348998572
2,FALSE,21,"general_sophistication",0.525994159777092,50,6.20932135549511e-05,0.29551294329423,0.698612818345741
2,FALSE,22,"general_sophistication",0.518426760620731,50,8.25285983771512e-05,0.285987637813538,0.693247268159153
2,FALSE,23,"general_sophistication",0.501082756552012,50,0.000154540582314803,0.264328162692353,0.680876218310663
2,FALSE,24,"general_sophistication",0.496011758498106,50,0.000184489453571597,0.258040219935491,0.677239712972955
2,FALSE,25,"general_sophistication",0.460313291356356,50,0.000595600445325486,0.214338041069929,0.651386650906338
2,FALSE,1,"mpt_total_score",0.28385774327503,48,0.0457479952283891,0.00598272691115026,0.521037673317803
2,FALSE,2,"mpt_total_score",0.248729609441716,48,0.0815454665736299,-0.0318211961188171,0.4929488432947
2,FALSE,3,"mpt_total_score",0.220072182116831,48,0.124616514611785,-0.0620782375447291,0.469650700343362
2,FALSE,4,"mpt_total_score",0.280215654081489,48,0.0487247650603473,0.00202595473012528,0.518149096484705
2,FALSE,5,"mpt_total_score",0.314865687257301,48,0.0259401007044889,0.0400259268403186,0.54541230140449
2,FALSE,6,"mpt_total_score",0.309343220276324,48,0.0288163617856059,0.0339158229951061,0.541099571256874
2,FALSE,7,"mpt_total_score",0.304544204561835,48,0.0315272447157147,0.028622819064356,0.53734188931856
2,FALSE,8,"mpt_total_score",0.342726871365437,48,0.0148325338653245,0.0711684242823764,0.56698571593085
2,FALSE,9,"mpt_total_score",0.343974102166336,48,0.014449461300545,0.072575037538812,0.567944328041255
2,FALSE,10,"mpt_total_score",0.336650070520053,48,0.0168252739100008,0.0643304907448242,0.562306427209852
2,FALSE,11,"mpt_total_score",0.356516281440938,48,0.0110440509247881,0.0867802431748872,0.577550491855862
2,FALSE,12,"mpt_total_score",0.340182573491461,48,0.0156409115448038,0.0683023379971901,0.565028302652695
2,FALSE,13,"mpt_total_score",0.348471862476419,48,0.0131373711781083,0.0776565452245475,0.571396233186766
2,FALSE,14,"mpt_total_score",0.313604768436967,48,0.0265747034892957,0.0386290225531241,0.544428670360542
2,FALSE,15,"mpt_total_score",0.352895202812912,48,0.0119478402028597,0.0826677354321079,0.574783347232328
2,FALSE,16,"mpt_total_score",0.341903252861251,48,0.0150902207699488,0.0702401480692588,0.566352355831831
2,FALSE,17,"mpt_total_score",0.305889763926111,48,0.0307466213747917,0.0301053246687603,0.538396410366604
2,FALSE,18,"mpt_total_score",0.327098119828645,48,0.0204158517646266,0.0536335785519032,0.55492185929418
2,FALSE,19,"mpt_total_score",0.364382299233335,48,0.00928125379960585,0.0957455737686715,0.583544071055101
2,FALSE,20,"mpt_total_score",0.370689546354227,48,0.00804877501632194,0.102965911247664,0.588332745385779
2,FALSE,21,"mpt_total_score",0.374406597364102,48,0.00739102137605665,0.107234328171054,0.591147724448976
2,FALSE,22,"mpt_total_score",0.368012468072243,48,0.00855338795999428,0.0998978264387273,0.586302080373114
2,FALSE,23,"mpt_total_score",0.368568535230641,48,0.00844637670960104,0.10053469195257,0.586724104170536
2,FALSE,24,"mpt_total_score",0.360998381461788,48,0.0100073220846383,0.0918833884236326,0.580968589165716
2,FALSE,25,"mpt_total_score",0.332968871541931,48,0.018139738193878,0.0602006136570479,0.559464765769996
1,TRUE,1,"active_engagement",0.18840653557346,69,0.115605311933948,-0.046961432809971,0.403954084789843
1,TRUE,2,"active_engagement",0.237118780285348,69,0.0464778503852593,0.00403845643770039,0.445762615816621
1,TRUE,3,"active_engagement",0.161420217050442,69,0.178674793115854,-0.074696585920161,0.380398178765115
1,TRUE,4,"active_engagement",0.279191442828611,69,0.0183813170734789,0.0490849243222502,0.481154501855134
1,TRUE,5,"active_engagement",0.215573901109392,69,0.0709950433427928,-0.0186687634104849,0.427382762705305
1,TRUE,6,"active_engagement",0.142307084373349,69,0.236471200725771,-0.094121558300247,0.363540976580659
