"include_random_effects","simulated","length","pearson_cor_value","pearson_cor_df","pearson_cor_p","pearson_cor_95_conf_lower","pearson_cor_95_conf_upper"
TRUE,FALSE,7,0.290209523458944,50,0.0368875585529039,0.0187979716384769,0.52178534477296
TRUE,TRUE,7,0.359554177906368,17748,0,0.346676530871303,0.372296307882581
TRUE,FALSE,8,0.390602370135839,50,0.00419793772853685,0.13174553401307,0.599589174227351
TRUE,TRUE,8,0.387834906495313,17748,0,0.375264606082805,0.400262578523669
TRUE,FALSE,9,0.426914727445447,50,0.00159813107797323,0.174324062453892,0.626790692920826
TRUE,TRUE,9,0.416146112178212,17748,0,0.403907462940335,0.428235820877123
TRUE,FALSE,10,0.40688340437859,50,0.00275849808340203,0.150718678351701,0.611845273872434
TRUE,TRUE,10,0.444662372601342,17748,0,0.432782054677994,0.456388267879046
TRUE,FALSE,11,0.41853971779326,50,0.0020159346759149,0.164419310689169,0.620559917088475
TRUE,TRUE,11,0.473019002573858,17748,0,0.461519201983702,0.484359860135254
TRUE,FALSE,12,0.424214264980144,50,0.00172351397803795,0.171124752226573,0.624784411850851
TRUE,TRUE,12,0.497032623549423,17748,0,0.485873948928701,0.508029297146709
TRUE,FALSE,13,0.444971457521407,50,0.000948972629871403,0.195854283127173,0.640137993605664
TRUE,TRUE,13,0.521778293391772,17748,0,0.510989285801275,0.532402927850669
TRUE,FALSE,14,0.493999291745581,50,0.000197774208104706,0.255550374291386,0.675794077944347
TRUE,TRUE,14,0.541064698921257,17748,0,0.530576585894875,0.55138716340669
TRUE,FALSE,15,0.549342535079058,50,2.46998213589646e-05,0.325193905589317,0.71504616898653
TRUE,TRUE,15,0.560561080221368,17748,0,0.550388528803796,0.570567225122777
TRUE,FALSE,16,0.546405931430239,50,2.78416160909995e-05,0.321436392369267,0.712989310509389
TRUE,TRUE,16,0.576860369223204,17748,0,0.566960429259872,0.586593692887159
TRUE,FALSE,17,0.546480716596021,50,2.77572354053757e-05,0.321531995437635,0.713041727200108
TRUE,TRUE,17,0.593159279063436,17748,0,0.583539961297514,0.602612168760641
TRUE,FALSE,18,0.566683678262731,50,1.1896165087052e-05,0.347527910186004,0.727134055770806
TRUE,TRUE,18,0.607051433149861,17748,0,0.597677632932147,0.616259288366629
TRUE,FALSE,19,0.589076124873544,50,4.34734097287281e-06,0.376740208864922,0.742597212135225
TRUE,TRUE,19,0.623220120443181,17748,0,0.614139415293426,0.632135826462436
TRUE,FALSE,20,0.60394993271376,50,2.13440453291617e-06,0.396380268262024,0.752778678048555
TRUE,TRUE,20,0.637862188645132,17748,0,0.629053726162048,0.646506873380892
TRUE,FALSE,21,0.612342328428357,50,1.40586878853383e-06,0.407546452023987,0.758492214211661
TRUE,TRUE,21,0.650845612150694,17748,0,0.642283979508666,0.659244846924815
TRUE,FALSE,22,0.601627908067705,50,2.39076482756687e-06,0.393301594516879,0.751193875138813
TRUE,TRUE,22,0.664196764699296,17748,0,0.655894275683487,0.672338572046299
TRUE,FALSE,23,0.599776942487345,50,2.61533027476907e-06,0.390850819705877,0.749929338016748
TRUE,TRUE,23,0.675632364576383,17748,0,0.667556132215355,0.683549629501653
TRUE,FALSE,24,0.636221712094591,50,4.0004232208864e-07,0.439656863880169,0.774627284805076
TRUE,TRUE,24,0.686414437469745,17748,0,0.678555162086921,0.694116571810163
TRUE,FALSE,25,0.665561602367162,50,7.3124478104793e-08,0.479810147656741,0.794208300201451
TRUE,TRUE,25,0.696295851244005,17748,0,0.688638505765995,0.703797911450586
